pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,st_dens,st_vsin,rastr,ra,decstr,dec,sy_dist,rowupdate
11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,0,326.03000000,1.290000,,,,,6165.60000,19.40000,Msini,,0.231000,,,0,G8 III,4742.00,19.00,2.70,2.243,,,1.2000,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,93.1846000,2014-05-14
11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,516.21997000,1.530000,,,,,4684.81420,14.74000,Msini,,0.080000,,,0,,4213.00,29.79,2.78,,,,,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,125.3210000,2018-09-04
14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,185.84000000,0.830000,,,,,1525.50000,4.80000,Msini,,0.000000,,,0,K0 III,4813.00,11.00,2.20,1.763,,,2.6000,23h31m17.80s,352.8241500,+39d14m09.01s,39.2358367,75.4392000,2014-05-14
14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,0,1765.03890112,2.773069,,,2586.74645,8.13881,2586.74645,8.13881,Mass,,0.372689,,,0,,,,0.91,,,,,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,17.9323000,2022-09-19
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,0,798.50000000,1.660000,,,,,565.73740,1.78000,Msini,,0.680000,,,0,,5750.00,1.13,1.08,,,,,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,21.1397000,2018-09-04
17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,0,578.38000000,1.450000,,,,,1373.01872,4.32000,Msini,,0.060000,,,0,K3 III,4157.00,25.92,1.22,2.254,5.130,,3.9800,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,124.9530000,2021-10-25
18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,993.30000000,2.600000,,,,,3273.50000,10.30000,Msini,,0.080000,,,0,G6 III,4979.00,8.50,2.30,1.602,,,,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,76.2220000,2014-05-14
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,0,,330.000000,,,3000.00000,8.00000,3000.00000,8.00000,Mass,,,,1700,0,K7 V,4060.00,,0.85,-0.370,0.005,,,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,139.1350000,2015-04-01
24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,0,30.35060000,0.190000,,,,,289.22530,0.91000,Msini,,0.042000,,,0,G3 IV,4893.00,10.64,0.99,1.774,6.920,,3.3600,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,95.9863000,2018-04-25
24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,452.80000000,1.333000,,,,,632.46000,1.99000,Msini,,0.090000,,,0,,5098.00,4.90,1.54,1.164,2.700,,2.7700,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,2014-05-14
24 Sex c,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,0,883.00000000,2.080000,,,,,273.32000,0.86000,Msini,,0.290000,,,0,,5098.00,4.90,1.54,1.164,2.700,,2.7700,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,72.0691000,2014-05-14
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,Subaru Telescope,0,,118.000000,,,1271.31363,4.00000,1271.31363,4.00000,Mass,,,,1450,0,M V,3100.00,0.84,0.17,-1.164,2.500,,22.5400,04h37m21.73s,69.3405531,+26d51m01.08s,26.8502997,128.4840000,2021-12-13
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,Paranal Observatory,0,,84.000000,,,4131.79000,13.00000,4131.79000,13.00000,Mass,,,,,0,M5.5/M6,,,0.19,,0.030,,,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,,2020-09-08
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,0,,52.000000,,,7786.50000,24.50000,7786.50000,24.50000,Mass,,,,,0,M3.5 V,3530.00,,0.40,-1.720,0.120,,,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000,2014-05-14
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,0,,156.000000,16.141,1.440,4417.83700,13.90000,4417.83700,13.90000,Mass,,,,,0,M6,3064.00,0.28,0.11,-2.230,0.035,,6.5000,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,,2015-05-14
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,0,,15.000000,,,2383.60000,7.50000,2383.60000,7.50000,Mass,,,,,0,M8.5,,,0.02,,0.001,,,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,2014-05-14
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,0,,55.000000,,,1589.15000,5.00000,1589.15000,5.00000,Mass,,,,1250,0,M8,,,0.02,,0.008,,,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000,2016-02-24
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,0,406.00000000,,,,,,591.16084,1.86000,Msini,,0.330000,,,0,,29564.00,0.20,0.48,,,,,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000,2022-04-19
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,0,,230.000000,,,3972.87500,12.50000,3972.87500,12.50000,Mass,,,,,0,K7 V,4045.00,,0.60,,0.120,,,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.5737000,2016-11-09
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,335.10001000,0.990000,,,,,4392.41060,13.82000,Msini,,0.290000,,,0,,6331.00,1.41,1.93,,,,,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000,2018-09-04
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0,269.30000000,0.870000,,,,,2256.50000,7.10000,Msini,,0.432000,,,0,K1 III,4415.00,18.11,1.23,,4.604,,,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603000,2014-05-14
42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,0,479.10000000,1.190000,,,,,1233.13000,3.88000,Msini,,0.380000,,,0,K1.5 III,4200.00,22.03,0.98,,9.490,,1.0000,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545000,2014-05-14
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,1078.00000000,2.100000,,,,,804.08000,2.53000,Msini,,0.032000,,,0,,5872.00,1.21,1.06,0.198,,0.8366,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,2014-05-14
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,2391.00000000,3.600000,,,,,171.62100,0.54000,Msini,,0.098000,,,0,,5872.00,1.21,1.06,0.198,,0.8366,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,2014-05-14
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,0,14002.00000000,11.600000,,,,,521.22000,1.64000,Msini,,0.160000,,,0,,5872.00,1.21,1.06,0.198,,0.8366,,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,2014-05-14
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,0,,13.200000,,,635.66000,2.00000,635.66000,2.00000,Mass,,,,700,0,F0 IV,,,1.75,0.850,0.020,,,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000,2019-07-08
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,4.23078500,0.052700,,,,,150.00900,0.47200,Msini,,0.013000,,,0,,5758.00,1.18,1.03,0.136,,0.8937,,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000,2014-05-14
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,14.65160000,0.113400,,,,,255.40000,0.80360,Msini,,0.000000,,,0,,5172.00,0.94,0.91,,,,1.2300,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,2021-02-05
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,44.39890000,0.237300,,,,,51.20000,0.16110,Msini,,0.030000,,,0,,5172.00,0.94,0.91,,,,1.2300,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,2021-02-05
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,5574.20000000,5.957000,,,,,991.60000,3.12000,Msini,,0.130000,,,0,,5172.00,0.94,0.91,,,,1.2300,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,2021-02-05
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.73654740,0.015440,1.875,0.167,7.99000,0.02514,7.99000,0.02514,Mass,6.66000,0.050000,,,0,,5172.00,0.94,0.91,,,,1.2300,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,2021-02-05
55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,259.88000000,0.770800,,,,,47.80000,0.15030,Msini,,0.080000,,,0,,5172.00,0.94,0.91,,,,1.2300,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,2021-02-05
6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,934.30000000,2.110000,,,,,638.83830,2.01000,Msini,,0.073000,,,0,,4938.00,5.20,1.44,,,,,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599000,2018-12-03
61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,4.21500000,0.050201,,,,,5.10000,0.01600,Msini,,0.120000,,,0,G5 V,5577.00,0.96,0.94,-0.095,8.960,,1.9000,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,2014-05-14
61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,38.02100000,0.217500,,,,,18.20000,0.05700,Msini,,0.140000,,,0,G5 V,5577.00,0.96,0.94,-0.095,8.960,,1.9000,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,2014-05-14
61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,123.01000000,0.476000,,,,,22.90000,0.07200,Msini,,0.350000,,,0,G5 V,5577.00,0.96,0.94,-0.095,8.960,,1.9000,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,2014-05-14
7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,0,735.10000000,1.758000,,,,,587.98550,1.85000,Msin(i)/sin(i),,0.060000,,,0,,4826.00,4.87,1.34,1.063,4.300,,,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,2019-10-18
7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,0,996.00000000,2.153000,,,,,276.51210,0.87000,Msin(i)/sin(i),,0.080000,,,0,,4826.00,4.87,1.34,1.063,4.300,,,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,2019-10-18
70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,116.68800000,0.481000,,,,,2357.02728,7.41600,Msini,,0.398800,,,0,,5495.00,1.89,1.09,,,,,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000,2018-12-03
75 Cet b,75 Cet,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,0,691.90000000,2.100000,,,,,953.49000,3.00000,Msini,,0.117000,,,0,G3 III,4846.00,10.50,2.49,1.730,,,1.7700,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,2015-09-02
8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0,93.40000000,0.490000,,,,,416.35730,1.31000,Msini,,0.060000,,,0,,4847.00,10.30,1.44,,,,,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.5520000,2018-09-04
81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,952.70000000,2.500000,,,,,1684.40000,5.30000,Msini,,0.206000,,,0,G5 III,4785.00,11.00,2.40,1.778,,,1.8000,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.2600000,2014-05-14
91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,0,181.40000000,0.700000,,,,,1017.00000,3.20000,Msini,,0.027000,,,0,K0 III,4665.00,11.00,1.40,,3.560,,3.9000,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304000,2014-05-14
AB Aur b,AB Aur,1,1,Imaging,2022,Subaru Telescope,0,,93.900000,,,2860.45566,9.00000,2860.45566,9.00000,Mass,,0.400000,,,0,,9770.00,,2.40,1.771,0.003,,,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.1270000,2022-04-12
AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,0,,260.000000,,,4290.50000,13.50000,4290.50000,13.50000,Mass,,,,,0,K2 V,,,,,0.030,,,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475000,2014-05-14
AU Mic b,AU Mic,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.46299910,0.064500,,,20.12000,0.06330,20.12000,0.06330,Mass,1.32000,0.186000,,,1,,,,0.50,,,,,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,2022-05-09
AU Mic c,AU Mic,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,18.85899100,0.110100,,,9.60000,0.03020,9.60000,0.03020,Mass,1.22000,,,,0,,,,0.50,,,,,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,2022-05-09
BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,0,481.90000000,1.300000,,,,,2034.11200,6.40000,Msini,,0.200000,,,0,,4095.00,32.35,1.14,2.700,5.200,,2.7000,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.6300000,2017-06-13
BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,0,268.94000000,0.780000,,,,,330.54320,1.04000,Msini,,0.290000,,,0,,4864.00,0.86,0.49,,,,,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.3520000,2018-09-04
BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,0,153.22000000,0.576000,,,,,337.21763,1.06100,Msini,,0.001000,,,0,,4649.00,8.95,1.08,1.570,7.410,,2.5000,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.0450000,2016-02-03
BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,0,137.48000000,0.539000,,,,,352.78000,1.11000,Msini,,0.260000,,,0,K0,4796.00,14.70,1.10,2.010,7.100,,2.3000,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,426.4200000,2014-05-14
BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,379.63000000,1.050000,,,,,17668.16970,55.59000,Msini,,0.150000,,,0,,4259.00,71.02,10.83,,,,,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,2018-09-04
BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,621.99000000,2.010000,,,,,3963.17000,12.47000,Msini,,0.180000,,,0,K2 II,4137.00,49.00,2.80,3.170,,,2.5000,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,2014-05-14
BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,0,578.20000000,1.300000,,,,,1334.88600,4.20000,Msini,,0.210000,,,0,K5 III,4296.00,17.30,0.80,1.960,,,2.0000,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.5100000,2015-09-16
BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,41.68550000,,2.578,0.230,22.24810,0.07000,22.24810,0.07000,Mass,,0.000000,,,0,,5766.00,1.08,1.67,,,1.8900,,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000,2018-04-25
BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,307.88000000,0.830000,,,,,432.24663,1.36000,Msini,,0.120000,,,0,K1,5004.00,,0.81,,,,2.0000,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.6220000,2021-05-28
BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,0,392.60000000,1.000000,,,,,289.22530,0.91000,Msini,,0.200000,,,0,K0 III,4414.00,11.00,0.74,1.690,,,1.0000,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.4930000,2015-08-12
BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,0,733.00000000,1.700000,,,,,540.31100,1.70000,Msini,,0.760000,,,0,,4534.00,10.33,1.09,1.640,,,0.7000,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.5890000,2018-02-01
BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,0,2590.00000000,4.200000,,,,,508.50000,1.60000,Msini,,0.350000,,,0,K0,4943.00,7.60,1.52,1.470,2.340,,1.7000,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.0420000,2015-02-05
BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,265.59000000,0.780000,,,,,228.83645,0.72000,Msini,,0.270000,,,0,K3,5012.00,,0.91,,,,2.0000,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697000,2021-05-28
BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0,,1662.000000,14.684,1.310,4767.42610,15.00000,4767.42610,15.00000,Mass,,,,1303,0,K0,4993.00,0.80,1.00,0.356,0.100,,11.0000,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543000,2022-01-10
BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,1198.48000000,2.060000,,,,,1258.60049,3.96000,Msini,,0.880000,,,0,K0,5000.00,,0.82,,,,2.1000,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473000,2021-05-28
BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,723.20000000,1.480000,,,,,7961.60160,25.05000,Msini,,0.390000,,,0,G0,5040.00,,0.81,,,,3.0000,23h10m50.60s,347.7108441,+00d24m30.82s,0.4085612,42.6402000,2021-05-28
BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,1,3.87280000,0.042800,,,,,8.50000,0.02700,Msini,,0.000000,,,0,K7/M0 V,4324.00,,0.70,-1.022,4.400,,0.5700,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000,2014-05-14
BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,0,125.94000000,0.435000,,,,,53.00000,0.17000,Msini,,0.310000,,,0,K7/M0 V,4324.00,,0.70,-1.022,4.400,,0.5700,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000,2014-05-14
BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,0,5.60000000,0.060000,,,,,12.71320,0.04000,Msini,,0.150000,,,0,,4816.00,0.71,0.50,,,,,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000,2018-09-04
BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,0,237.60000000,0.680000,,,,,104.00000,0.33000,Msini,,0.190000,,,0,K3 V,4746.00,,0.74,,4.500,,1.4000,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000,2014-05-14
BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,0,3.48777000,0.040000,,,,,187.51970,0.59000,Msini,,0.020000,,,0,,5393.00,0.91,1.47,,,,,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069000,2018-09-04
BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,La Silla Observatory,0,1634.00000000,2.360000,,,,,206.58950,0.65000,Msini,,0.050000,,,0,,4550.00,0.64,0.65,-0.804,7.400,3.5300,1.0000,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000,2020-07-17
BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,0,74.20000000,0.300000,,,,,15.37000,0.04836,Msini,,0.400000,,,0,,4550.00,0.64,0.65,-0.804,7.400,3.5300,1.0000,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000,2020-07-17
BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,La Silla Observatory,0,714.29999000,1.660000,,,,,3108.37740,9.78000,Msini,,0.210000,,,0,,4545.00,19.17,2.12,,,,,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.2140000,2018-09-04
BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,La Silla Observatory,0,655.60000000,1.340000,,,,,1620.90000,5.10000,Msini,,0.540000,,,0,K5 V,4714.00,0.69,0.74,-0.678,4.300,,1.5000,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603000,2019-09-04
CD Cet b,CD Cet,1,1,Radial Velocity,2020,Calar Alto Observatory,0,2.29070000,0.018500,,,,,3.95000,0.01243,Msini,,,8.60,464,0,M5.0 V,3130.00,0.17,0.16,-2.533,3.000,,2.0000,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,8.6071500,2021-11-02
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,W. M. Keck Observatory,0,10037.50000000,2.600000,,,3337.10000,10.50000,3337.10000,10.50000,Mass,,,,370,0,,580.50,,0.02,,,,,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,,2014-05-14
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,Hubble Space Telescope,0,8040000.00000000,200.000000,20.849,1.860,2479.06157,7.80000,2479.06157,7.80000,Mass,,,,1800,0,M9-L1,2320.00,0.24,0.01,-2.850,0.003,,,16h27m44.23s,246.9342770,-23d58m52.14s,-23.9811500,,2021-05-17
CHXR 73 b,CHXR 73,1,1,Imaging,2006,Hubble Space Telescope,0,,210.000000,,,3994.48600,12.56900,3994.48600,12.56900,Mass,,,,,0,M3.5,,,0.35,,0.002,,,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,190.3740000,2014-05-14
CI Tau b,CI Tau,1,1,Radial Velocity,2019,Multiple Observatories,0,8.98910000,,,,3686.82800,11.60000,3686.82800,11.60000,Mass,,0.250000,,,0,K7,,,0.90,-0.108,0.003,,,04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192,157.9980000,2019-06-19
COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),0,402000000.00000000,7506.000000,12.442,1.110,2002.31896,6.30000,2002.31896,6.30000,Mass,,,,434,0,M3 V,3406.00,0.39,0.37,-1.732,0.475,,,07h49m12.22s,117.3009140,-76d42m09.71s,-76.7026960,10.8864000,2021-08-16
CT Cha b,CT Cha,1,1,Imaging,2007,Paranal Observatory,0,,440.000000,24.660,2.200,5403.00000,17.00000,5403.00000,17.00000,Mass,,,,2600,0,,,,,,0.002,,,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.7200000,2014-05-14
CoRoT-1 b,CoRoT-1,1,1,Transit,2008,CoRoT,0,1.50895570,,16.700,1.490,327.35000,1.03000,327.35000,1.03000,Mass,0.38000,0.000000,,1898,0,G0 V,5950.00,1.11,0.95,,,,5.2000,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.9090000,2014-05-14
CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,0,13.24060000,0.105500,10.870,0.970,874.00000,2.75000,874.00000,2.75000,Mass,3.70000,0.530000,,600,0,K1 V,5075.00,0.79,0.89,,3.000,3.3200,2.0000,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.3860000,2014-05-14
CoRoT-11 b,CoRoT-11,1,1,Transit,2010,CoRoT,0,2.99433000,0.043600,16.030,1.430,740.51000,2.33000,740.51000,2.33000,Mass,0.99000,0.000000,,1657,0,F6 V,6440.00,1.37,1.27,,2.000,0.6900,40.0000,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.0370000,2014-05-14
CoRoT-12 b,CoRoT-12,1,1,Transit,2010,CoRoT,0,2.82804200,0.040160,16.140,1.440,291.43800,0.91700,291.43800,0.91700,Mass,0.41100,0.070000,,1442,0,,5675.00,1.12,1.08,,6.300,1.0800,1.0000,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.3700000,2014-05-14
CoRoT-13 b,CoRoT-13,1,1,Transit,2010,CoRoT,0,4.03519000,0.051000,9.920,0.885,415.70400,1.30800,415.70400,1.30800,Mass,2.34000,0.000000,,1700,0,G0 V,5945.00,1.01,1.09,,1.635,1.4680,4.0000,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.9300000,2014-05-14
CoRoT-14 b,CoRoT-14,1,1,Transit,2010,CoRoT,0,1.51214000,0.027000,12.220,1.090,2415.40000,7.60000,2415.40000,7.60000,Mass,7.30000,0.000000,,1952,0,F9 V,6035.00,1.21,1.13,,4.200,0.9100,9.0000,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6000000,2014-05-14
CoRoT-16 b,CoRoT-16,1,1,Transit,2011,CoRoT,0,5.35227000,0.061800,13.110,1.170,170.03200,0.53500,170.03200,0.53500,Mass,0.44000,0.330000,,,0,G5 V,5650.00,1.19,1.10,,6.730,0.9300,1.0000,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,732.4090000,2014-05-14
CoRoT-17 b,CoRoT-17,1,1,Transit,2011,CoRoT,0,3.76810000,0.046100,11.430,1.020,772.29000,2.43000,772.29000,2.43000,Mass,2.82000,0.000000,,1626,0,G2 V,5740.00,1.59,1.04,,10.700,0.3200,4.5000,18h34m47.82s,278.6992360,-06d36m44.24s,-6.6122880,1176.1200000,2014-05-14
CoRoT-18 b,CoRoT-18,1,1,Transit,2011,CoRoT,0,1.90006930,0.029500,14.680,1.310,1102.82000,3.47000,1102.82000,3.47000,Mass,2.20000,0.080000,,1550,0,G9 V,5440.00,1.00,0.95,,,1.3500,8.0000,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.8890000,2019-12-02
